EntryType,FirstName,LastName,AddressLine1,City,Province,Country,PostalCode,Phone1Type,Phone1Number
Business,Adria,Talley,"P.O. Box 890, 5386 Commodo St.",Beausejour,Manitoba,Canada,R0P 4T2,Mobile,1-902-839-2660
,Shelly,Cline,6494 Ac Av.,Silverton,British Columbia,Canada,V5V 9G4,Work,1-797-362-0786
,Darius,Miles,"P.O. Box 261, 2128 Molestie Rd.",Town of Yarmouth,Nova Scotia,Canada,B0R 3W1,Home,1-770-293-2050
Business,Indigo,Harrison,195-3345 Integer Road,Cornwall,Ontario,Canada,P1K 5R1,Home,1-664-823-2751
,Ishmael,Shaffer,Ap #761-3874 Dolor. Rd.,Norman Wells,Northwest Territories,Canada,X8T 8Y8,,1-343-994-2917
Friend,Oprah,Ball,"P.O. Box 390, 6129 Enim Street",Stratford,Prince Edward Island,Canada,C4K 6P0,Mobile,1-855-518-2949
Business,Iola,Montgomery,Ap #368-961 Ut Rd.,Kitchener,Ontario,Canada,N1T 2M8,Work Fax,1-843-685-8624
,Shellie,Madden,6939 Tempor Avenue,Halifax,Nova Scotia,Canada,B6K 5R4,,1-875-870-7315
Business,Inez,Russo,"P.O. Box 813, 1053 Sed Avenue",Chambord,Quebec,Canada,G4P 4H6,Home,1-318-980-2039
,Cecilia,Mckee,Ap #683-1946 Pellentesque Rd.,Stratford,Prince Edward Island,Canada,C6J 4R8,Home,1-375-754-1647
Business,Aladdin,Jacobson,"P.O. Box 211, 335 Cras St.",Malbaie,Quebec,Canada,G5B 5H0,Home Fax,1-768-620-6433
,Christopher,Mcfadden,846-1583 Mauris Street,Burns Lake,British Columbia,Canada,V1W 4E7,Work Fax,1-827-624-2253
Business,Jocelyn,Dejesus,"P.O. Box 236, 7463 Eu Av.",Dieppe,New Brunswick,Canada,E0L 6G3,Work Fax,1-284-850-6583
,Sonia,Bender,2982 Ac Ave,Saint John,New Brunswick,Canada,E5M 7H9,,1-136-407-7069
Other,Hashim,Alston,5125 Risus. Rd.,Daly,Manitoba,Canada,R5V 7M5,Home Fax,1-201-987-6502
Business,Wilma,Riddle,5228 Phasellus Street,North Battleford,Saskatchewan,Canada,S9C 7Y6,,1-880-372-4694
Business,Fitzgerald,Pruitt,"P.O. Box 816, 6779 Nunc Ave",Berwick,Nova Scotia,Canada,B8Y 1N1,,1-621-781-7199
,Quamar,Carney,"P.O. Box 566, 3431 Ridiculus Road",Cariboo Regional District,British Columbia,Canada,V5V 6A0,Work Fax,1-923-765-4484
Friend,Candice,Mitchell,883 Cras Street,Miramichi,New Brunswick,Canada,E3S 1Z6,Work,1-429-529-5265
Other,Brittany,William,184-5938 Luctus St.,Moncton,New Brunswick,Canada,E3R 4H8,Work Fax,1-482-282-0067
Family,Stephen,Silva,6948 Ac Street,Bruderheim,Alberta,Canada,T0L 8N2,Home Fax,1-984-376-1122
Friend,Tucker,Gould,1927 Mauris Rd.,Ucluelet,British Columbia,Canada,V9V 2X7,Home Fax,1-714-451-3395
Family,Edward,Alford,"120-8086 Sem, Ave",Edmundston,New Brunswick,Canada,E6J 4C1,,1-941-992-8632
Business,Kelly,Cooke,9629 Penatibus Avenue,Fredericton,New Brunswick,Canada,E5P 6G6,,1-735-407-9044
,Wayne,Patton,9716 In Av.,Lamont,Alberta,Canada,T3Y 5E7,Home,1-116-806-2983
,Maisie,Clements,414-5206 Malesuada Rd.,Montague,Prince Edward Island,Canada,C4W 2P1,Home,1-881-278-6399
Business,Brenden,Downs,Ap #851-2843 At Road,Campbellton,New Brunswick,Canada,E7T 5X6,Home,1-369-894-5286
Friend,Cade,Day,"P.O. Box 839, 9263 Vel, Rd.",Assiniboia,Saskatchewan,Canada,S7H 1B0,,1-405-538-4393
Other,Beck,Wheeler,5497 Magnis Street,Stratford,Prince Edward Island,Canada,C0B 4Z2,Home,1-826-733-7980
Business,Ali,Grant,Ap #991-2424 Diam Avenue,Sooke,British Columbia,Canada,V7S 0S1,Mobile,1-785-153-5381
Business,Dante,Savage,"P.O. Box 346, 6076 Aenean Rd.",Cambridge Bay,Nunavut,Canada,X7S 3H5,Work,1-910-203-4392
Business,Reuben,Brown,395-9119 Nonummy Ave,Gjoa Haven,Nunavut,Canada,X3P 4T0,Work,1-672-963-2641
Friend,Benjamin,Harrington,"5054 Urna, Av.",Whitewater Region Township,Ontario,Canada,L4S 7E1,Home,1-232-207-4577
Friend,Ocean,Crosby,"P.O. Box 334, 2087 Nunc Avenue",Fermont,Quebec,Canada,G8Z 1N4,,1-749-323-1945
Friend,Igor,Wynn,"723-8413 Quis, Rd.",Gravelbourg,Saskatchewan,Canada,S0X 4J1,,1-233-569-3432
Friend,Nyssa,Vazquez,"P.O. Box 766, 1655 Nullam St.",Winnipeg,Manitoba,Canada,R1W 0J1,Work Fax,1-927-987-0076
Friend,Jonah,Randolph,"P.O. Box 568, 1099 Erat, Rd.",Warspite,Alberta,Canada,T5E 1Z5,Work Fax,1-820-235-2265
Business,Griffith,Best,"P.O. Box 370, 6652 Interdum St.",Whitehorse,Yukon,Canada,Y9B 3Z0,Home Fax,1-886-899-2587
Friend,Graham,Robertson,"P.O. Box 452, 2380 Velit. Av.",Springdale,Newfoundland and Labrador,Canada,A4K 6P8,Mobile,1-918-736-0939
Business,Malcolm,Wolfe,Ap #286-1104 Semper Street,Charlottetown,Prince Edward Island,Canada,C9G 5J5,Work,1-517-769-1134
,Odessa,Hardin,Ap #724-7484 In St.,Fernie,British Columbia,Canada,V4E 3H3,Work Fax,1-436-116-7395
,Kamal,Russell,780-6319 Luctus St.,Bonnyville,Alberta,Canada,T3C 6T2,Mobile,1-367-691-7431
,Quyn,Jefferson,"4012 Convallis, Ave",Fort Laird,Northwest Territories,Canada,X3B 8M5,Work Fax,1-532-920-5305
Business,Suki,Warren,"P.O. Box 632, 910 Amet Street",Armstrong,British Columbia,Canada,V1W 2L1,,1-809-385-0988
,Brandon,Shaw,7531 Egestas Ave,Watson Lake,Yukon,Canada,Y0J 6A7,Home Fax,1-651-451-4885
,Rhiannon,Pittman,"P.O. Box 712, 4371 Adipiscing Rd.",Fort Good Hope,Northwest Territories,Canada,X2H 6B5,Work Fax,1-241-188-7751
Business,Baxter,Garrison,"P.O. Box 109, 953 Id Ave",Marystown,Newfoundland and Labrador,Canada,A7C 2X6,Work,1-468-574-5698
,Benedict,Good,"P.O. Box 958, 4166 Molestie. Avenue",Edmundston,New Brunswick,Canada,E2R 6P2,Home,1-771-870-3678
Friend,Rae,Hyde,974-263 Faucibus Av.,Mount Pearl,Newfoundland and Labrador,Canada,A4H 1G1,Home Fax,1-565-469-9505
,Jorden,Barton,"P.O. Box 227, 4732 Nibh Ave",Charlottetown,Prince Edward Island,Canada,C7T 6L5,Home,1-755-420-6924
